Codigo;descricao
1116013;Mistura Tampa Infer. / Superior da Coifa
515255;Gaxeta B Molythane 18701750-375 B
515256;Raspador D-Molythane D-01750
515257;Adaptador M x F Aço 3 x 1.1/4 NPT
515258;Elemento Filtrante HDA 013051
515259;"Chumbador CBA 3/8"" x 3.1/2"" (Parabolde)"
1401020;Master vermelho
1144019;Mistura PP + master preto LQ. PT
1144020;Mistura PP + master LQ. BR
515260;Elemento Elástico Acoplamento Normex E 168
4844071;Motor 127V Liquidificador 2 Vel.
4844072;Motor 220V Liquidificador 2 Vel.
515251;Cabo Coaxial RF75 0.4/2.5
51521931;Motor Hidraúlico Modelo P200-III-EE1-N-C3
515262;Cabo PP 1KV Flexível 2 x 4,0 mm
515261;Plástico Neoplastic 04 x 100 x 0,15 Preto
515263;"Cantoneira 4"" x 1/4"" x 6.000 mm,"
1503034;Caixa
515264;Agregado Mineral P 05 MI CIME
515265;"Luva de Redução Galvanizada 1.1/4"" x 1"""
1103516;Knob GÊNESIS tampografado Verde
1903026;Manual Instrução Lav. Gênesis 6.9
1103517;Gabinete dob. Lav.GÊNESIS 6.9
1003087;Etiqueta Inmetro Lav. GÊNESIS 6.9 127V
1003088;Etiqueta Inmetro Lav. GÊNESIS 6.9 220V
1003089;*Etiqueta Procel Lav. GÊNESIS 6.9
1003090;Etiqueta painel lav. GÊNESIS 6.9
0103029;Chapa PET- LAV.GÊNESIS 1,5 x 740 x 1913mm
0503049;Timer mec.15' c/ molho FV-0 (5.6.4)
1103518;Lavadora GÊNESIS 6.9 127V
1103519;Lavadora GÊNESIS 6.9 220V
0610006;Tinta Prata A 44AO Pantone 80
4841094;Base CF0421/22PT
4841095;Reservatório de água CF0421/22PT
4841096;Anel de borracha CF0421/22PT
4841097;Bocal de água superior CF0421/22PT
4841098;Bocal de água inferior CF0421/22PT
51521705;Luva Soldavel PVC 50 mm
4841099;Tampa do reservatório de água CF0421/22PT
4841100;Porta filtro  CF0421/22PT
4841101;Rolha do filtro CF0421/22PT
4841102;Tubo rígido CF0421/22PT
4841117;Abraçadeira inox
4841118;Reservatório de água
4841119;Base Cafeteira CF2021/22IX
4841120;Acabamento inox do painel
4841121;Placa de aquecimento
4841122;Tampa de isolamento de calor
4841123;Fixador da placa de aquecimento
4841124;Conector
4841125;Interruptor P/ CF2021/22IX
4841126;Elemento de aquecimento 127V P/CF2021IX
4841127;Elemento de aquecimento 220V P/CF2022IX
4841128;Arruela
4841129;Terminal da cabeação
4841130;Fixador do elemento de aquecimento
51521930;"Correia em ""V"" C 111 Goodyear"
51521929;Cilindro Gás argonio T-10M3
551521928;Divisor para Antena 01 Entrada + 02 Saídas
51521928;Conector F
CF0422CXPT;Cafeteira Suggar 14 Cafes 220V Preta cx c/6
91403058;Serviço Industrialização Composto de Polipropileno VD 20% Po de Vidro 
51521935;Esmalte Sintetico Preto Fosco
51521932;Esmalte Sintetico Vermelho Acetinado 3,6 Litros
51521936;Ponta de Prova (Aparelho Minimpa)
51521937;Tomada de Sobrepor Mecânico com Disjuntor 32A
51521938;Reparo Astra Mecânico M3328/CC
51521939;Desentupidor Vaso Sanitário
51521981;Elemento Filtro Ar Atlas Copco 1030.1070.00
51521982;Filtro de óleo cód Atlas Copco 1613.6105.00
51521983;"Cap Galvanizado 1/2"""
51521984;Óleo Mineral cód Atlas Copco PN 2901052200
51521985;"Tampão Galvanizado 1/2"""
51521986;"Parafuso Sextavado 5/16"" x 2.1/2"""
51521987;"Porca Sextavada Torneada alta 5/16"""
51521988;Parafuso CB Panela 48 x 45.
515217;"Selo Mecânico Tipo TS-P 1 1/4"""
515218;Calço Bronze Placa Móvel Injetora Semeraro PPIS
515219;Parafuso Rosca Esquerda
1103520;Lavadora ALELUIA 5.0 127V
1103521;Lavadora ALELUIA 5.0 220V
1003091;Etiqueta Inmetro Lav. ALELUIA 5.0 127V
1003092;Etiqueta Inmetro Lav. ALELUIA 5.0 220V
1003093;*Etiqueta Procel Lav. ALELUIA 5.0
1003094;Etiqueta painel lav. ALELUIA 5.0
1903027;Manual Instrução LAV. ALELUIA 5.0
1903028;Manual Instrução LAV. ALELUIA 4.0
4841103;Manual para cafeteira  CF0421/22PT
4841104;Caixa p/ cafeteira CF0421/22PT
51521704;Lâmpada Incandescente 100 Watts 127 Volts
51521706;Parafuso Castelo Bucha S 10
51521707;Tubo Ligação Vaso Sem SPUD.
1144015;BASE LIQUIDIFICADOR LIQPLUS 127V IX
1144016;BASE LIQUIDIFICADOR LIQPLUS 220V IX
1144017;BASE LIQUIDIFICADOR LIQMIX 127V BR
4828150;Resistência central
4828153;Suporte 1 da placa magnética
4828151;Carrinho
4828152;Eixo
4828154;Suporte 2 da placa magnética
4828155;Placa magnética
4828156;Alavanca
4828157;Acabamento da alavanca
4828158;Mola do carrinho
4828159;Elevador do pão
4828160;Quadro de suporte frontal
4841131;Tampa inferior da base CF2021/22IX
4841132;Pé de silicone
4841133;Etiqueta do produto
4841134;Termostato CF2021/22IX
4841135;Fusível CF2021/22IX
4844044;Base superior BR Liqmix 2 Vel.
4844045;Base superior PT Liqmix 2 Vel.
4844046;Placa de comando Liqmix 2 Vel.
4844047;Manipulo branco Liqmix BR
4844048;Manipulo preto Liqmix PT
4844049;Base completa do Liq. Mix 127V BR 2 Vel.
4844050;Base completa do Liq. Mix 220V BR 2 Vel.
4844051;Base completa do Liq. Mix 127V PT 2 Vel.
4844052;Base completa do Liq. Mix 220V PT 2 Vel.
51521730;Ligação Cromada 40 Cm
51521731;Porta Laminada 60 x 210
51521732;"Bucha para Torneira 1/2"" e 3/4"""
51521733;Rejunte Cinza (01 Kg)
CF0421PT;Cafeteira Suggar 14 Cafes 127V Preta
51521941;Luva de Correr 050 mm Esgoto
51521942;Redução PVC 100 x 050mm
51521943;Redução PVC 200 x 100mm
51521944;"Registro Pressão 1/2"""
FE5022IX;Forno Elet Suggar Embutir Inox 220V
BT9021PT;Batedeira Batmax 127V PT Suggar
BT9022PT;Batedeira Batmax 220V PT Suggar
GR3621PT;Grill Top Cheff Suggar 36CM PT 127V
GR3622PT;Grill Top Cheff Suggar 36CM PT 220V
GR3021PT;Grill Delicia Max Suggar PT 127V
GR3022PT;Grill Delicia Max Suggar PT 220V
51521957;Cabo Telefonia 50 x 02 Pares
BT9021CXPT;Batedeira Batmax 127V PT Suggar CX C/6
BT9022CXPT;Batedeira Batmax 220V PT Suggar CX C/6
GR3621CXPT;Grill Red Sabor Suggar 36CM PT 127V CX C/3
GR3622CXPT;Grill Red Sabor Suggar 36CM PT 220V CX C/3
GR3021CXPT;Grill Delicia Suggar PT 127V CX C/4
GR3022CXPT;Grill Delicia Suggar PT 220V CX C/4
51521968;Terminal Compressão 16 mm
51521967;Gaxeta Int. Poliuretano GP-091 150 x 185 x 16 mm
51521966;Conector Macho Easylok - 6,00 x 1/8xx
51521965;Conector Macho Easylok - 6,00 x 1/4xx
51521964;Tubo PU-Espiral UFSG 8,00 x xxx
51521963;Trava Anaerobica 50GR Médio Troque
51521962;Kit Reparo Paleteira Paletrans PLxxx
5152148;Contra Bico para Cilindro 52 mm Aço 4140
5152149;Cilindro (Forno) Ø Ext. 110 X Ø Int. 52 X 1255 mm
5152151;Rosca Ø 52 x 1140 / 1452 mm Aço 8550
5152153;Anel de Bloqueio Ø 52 mm Aço VC 52
5152160;Anel de Encosto P/ Rosca Ø 52 mm Aço VC 52
1103522;Embalagem e impressos Lav. ALELUIA 5.0
1103523;Lavadora ALELUIA 4.0 127V
1103524;Lavadora ALELUIA  4.0 220V
1103525;Embalagem e impressos Lav. ALELUIA 4.0
1003095;Etiqueta Inmetro Lav. ALELUIA 4.0 127V
4828161;Mola
4828163;Cabeação interno III
4828164;Resistência esquerda
4828165;Refletor
4828166;Tampa da torradeira TR7021/22PT
4828168;Painel traseiro
4828167;Gabinete da torradeira TR7021/22PT
51521812;Tambor Fechadura STAN
51521813;Tambor Fechadura Aliança
51521814;"Parafuso Sextavado 1/4"" x 2"""
51521828;Anel Exentrico Interno Código P62387
51521829;Anel Exentrico Externo Código P62388
1103513;Lavadora  TOP 4.0  127V  Tampa transparente
51521658;Tambor de Freio (Elevador Mecan)
51521657;Parafuso Esquerdo (Motor Hidraulico Inj. 09)
51521894;"Tampão Galvanizado 3"""
51521709;"Valvula para Bebedouro 3/8"""
51521708;"Valvula para Bebedouro 1/4"""
51521710;"Valvula para Bebedouro com Canudo 3/8"""
51521711;"Valvula para Bebedouro com Canudo 1/4"""
51521893;Retentor Sabo 02730 BRG 17 x 30 x 7x
51521905;Elemento Filtrante 2-6 S Atlas Copco
51521879;Raspador D Molythane 06-D-02165
51521880;Gaxeta B Molythane 6-19702165-375B
51521881;Anel Oring 2-147 N0674-70 67,95x 2,62x ANx
51521615;Gaxeta/Raspador 20x30x11mm Cód Parker EU2029 P5008
51521616;Anel de Amortecimento 25x33x7,8mm
51521617;Gaxeta de Embolo 53,00x 63,00x 7,00mm
1103514;Lavadora  TOP 4.0  220V   Tampa transparente
51521839;"Perfil Enrijecido 75 x 45 x 25 # 1/8"""
51521838;Té PVC Esgoto 150 mm
51521840;"Curva Galvanizdo Fêmea 3"" x 90º"
51521841;"Curva Galvanizdo Fêmea 4"" x 90º"
51521842;"Té Galvanizado 3"""
51521843;Elemento Filtrante HDA 114141-FP80 010 FV
5152184;Elemento Filtrante HDA FTS 400
51521845;"Tubo PVC Rosca de 4"""
51521866;Motor 12 Volts Empilhadeira BYG
51521865;Perfil Simples 100 x 40 #14
51521867;Macho Manual M 30,00 x 3,5
51521868;Bobina Bosch/Maquita 220 Volts
51521906;Gaxeta 50012250750B 311,15x 336,55x 19,05
51521907;Guia da Roldana
51521908;Guia Corrediça Nylon
51521909;Anel Elastico Externo P/ Eixo (3378)
51521910;Rolamento Rigido de Esfera
KIT6001BR;Lav Suggar Aleluia 127V C/Vasilha Inox
51521618;Anel Oring 6-115 N0674-70 (61,80x2,00xANx)
51521619;Fita Guia PTFE+Grafite 2 pçs com 0,19 corte 45)
51521625;Piso Paviflex
CF0411PT;Cafeteira Suggar 14 Cafes 127V Preta
CF0422PT;Cafeteira Suggar 14 Cafes 220V Preta
51521627;Cabo Flexível 750Volts 95 mm PT
4840235;Parafuso aa Cab pan. 3 x 10
4840236;Parafuso aa Cab flan. 3 x 13
4804176;Fechamento traseiro
4804177;Lateral direita interna
4804178;Fechamento inferior
4804179;Distanciador do puxador  PT
4804180;Distanciador do puxador BR
4804181;Pé
4804182;Bandeja
4804183;Grelha
4804184;Puxador da bandeja
4804185;Seletor
4804186;Caixa p/ Forno 9 Litros BR
KIT6002BR;Lav Suggar Aleluia 220V C/Vasilha Inox
5050177;Luva de vaqueta (Recuperada)
51521724;Jogo de Macho Manual M4
51521725;Jogo de Macho Manual M5
51521726;Jogo de Macho Manual M6
51521727;Vira Macho Tipo T Nº 01 - C/ Catraca
51521728;Broca de Aço Rápido 6,0 mm
51521853;Resistencia Tubular 230V. 8,5 x 950mm
51521665;Tubo Redendo Inox 3/4 x 1,2 mm
51521666;VENTOSA Ø42mm 2fole e meio
51521667;Morsetto D.20/PV
51521668;Morsetto D.20 x D.20
51521669;Bloco de Montagem Principal D.20
51521670;Porta Ventosa 31415004
51521671;Limpa Contatos Elétrico
51521819;Construção de Rosca Ø xx x / xxxx
51521820;Construção de Ponteira P/ Rosca Ø xxx
51521821;Construção de Anel de Bloqueio P/ Rosca Ø xxx
51521822;Construção de Anel de Encosto P/ Rosca Øxxx
4804187;Manual p/ Forno 9 Litros
4804188;Caixa master p/ Forno 9 Litros
51521796;Valvula de Retenção Rexroth Tipo S Cod. S10 A10
51521797;Trocador de Calor TA 750-8
1144003R;Acabamento da alca do Liquidificador PT
1144006R;Filtro do Liquidificador BR
1144007R;Filtro do Liquidificador PT
1124023R;Alca do Ferro Paris - FR0521/22BR
51521823;Construção de Cilindro Ø Ext.xx Ø Int.
51521914;Anti-Extrusão 343,51 Código R64207
4843153;Jarra Juicer JC8811/22IX
1101911;DEPURADOR 1 VELOCIDADE 60CM 127V BR *TESTE
1101912;Sub-conj. motor 127V 1 vel Legitimo SIRIUS
51521798;Luva Acompessão 16 mm
51521904;"Tubo PVC Rosca 1.1/2"""
51521858;Resistencia Linear Hotflex 8,5 x 600 mm 1450 Watts
51521857;Resistencia Linear Hotflex 8,5 x 850 mm 1250 Watts
1101917;Manta filtrante Dep.Fischer 380 x 500mm (S/logo)
1101918;Manta filtrante Dep.Fischer 380 x 700mm (S/logo)
0901023;Bobina manta filt. 361mm (REF.FIL4240)Titan/Sirius
0901024;Bobina manta filt.380mm (REF.FIL 4240) Antares
0901025;Bobina manta filtrante 380mm(Sem logo)dep.Fischer
4826092;Caixa p/ Panela Eletrica
4826093;Manual p/ Panela Eletrica
51521751;Quadro Sobrepor Com Kit DIN 36 DISJUNTOR
51521752;Retentor RB 0540 Parker
51521626;Rebite 15 Pop repuxo RM 512 FIX-ALL
4840242;Placa de comando PCB 220V
51521779;Chave Lombard Modelo 162 20 HP 220 Volts
51521778;Sirene Rotan Tipo RT 13 110 Volts
51521800;"Conector Box Curvo 90º Fixo 2"""
51521801;"Conector Box Curvo 90º Giratório 2"""
51521802;"Conector Fixo Reto 2"""
51521803;"Conector Reto Giratório 3"""
51521804;"Sealtubo Flexível Preto 2"""
51521805;"Sealtubo Flexível Preto 1"""
51521806;"Sealtubo Flexível Preto 3/4"""
51521807;"Sealtubo Flexível Preto 1/2"""
4843109;Espremedor Fast Fruit
4843110;Cobertura Fast  Fruit
4843111;Lâmina em disco Fast  Fruit
51521753;Retentor Sabo 01386 BRG 20 x 35 08 mm
51521754;Retentor RB 0078N 30x 42x 7x
51521755;Terminal Prensado Femea Giratório 16848-8-8SA
51521756;ARRUELA DE PRESSAO M20
51521757;ARRUELA LISA M8
51521758;Parafuso Allen Cabeça M 27 x 200 mm
51521759;Parafuso Allen Cabeça M 12 x 70 mm
51521760;Parafuso Allen Cabeça M 12 x 20 mm
51521887;"Niple Duplo Galvanizado de 1.1/4"""
51521888;"Registro Esfera Metal Deca 1.1/4"""
51521889;"Bucha Redução Galvanizada 2"" x 1.1/4"""
91410008;Serviço de Industrialização p/ Poliestireno de alto impacto reciclado
KIT1170BR;Lav Suggar Viva 6.0 127V C/Vasilha Inox
KIT2270BR;Lav Suggar Viva 6.0 220V C/Vasilha Inox
KIT6211BR;Lav Suggar Vivamax 6.0 127V C/Vasilha Inox
KIT6222BR;Lav Suggar Vivamax 6.0 220V C/Vasilha Inox
51521628;Gaxeta V SGV-12 D. 60 x D.100 x 11
4840175;Batedor para mistura
4843112;Filtro Fast  Fruit
4843113;Base do filtro  Fast  Fruit
4843114;Anel do Juicer
4843115;Direcionador de polpa Fast  Fruit
51521621;Mini Disjuntor Monopolar 5Sx1-150-7 50A
51521622;Mini Disjuntor Monopolar siemens modelo 5sl12 25A
4841140;Manual p/ Cafeteira CF0421/22PT
4841141;Tampa inferior da base CF0421/22PT
4843117;Placa deslizante
4843118;Anel da trava direita
4843119;Trava plástica direita
4843120;Cobertura de borracha dos parafusos
4843121;Borracha anti-vibração
4843122;Acoplador do filtro Fast Fruit
4843123;Mola de pressão do acoplador
4843124;Pino trava do acoplador ao filtro
4843125;Eixo do acoplador
4843126;Base Fast  Fruit JC7811PT
4843127;Trava plástica esquerda
4840176;Trava do Puxador
4840177;Puxador da panela
4840178;Panela removível
4840179;Conector da panela
4840180;Arruela do eixo do batedor
4840181;Anel de vedação
4840182;Arruela de separação
4840183;Arruela lisa
4840184;Arruela para travar o eixo
4840185;Anel de silicone
4840186;Base da panela
4840187;Capacitor
4840188;Placa da fonte elétrica 127V
4840189;Placa da fonte elétrica 220V
91924003;Serviço para Manual p/ Ferro eletrico Roma FR1221-22BR 
4840200;Suporte da placa da fonte elétrica
4840201;Motor 127V
JC7811PT;Juicer/Centrifuga Suggar 127V
4843128;Anel da trava direita
4843129;Suporte do interruptor
4843130;Mini Interruptor
4843131;Mola do articulador
4843116;Copo de resíduos Fast  Fruit
51521608;Engrenagem P/ Altura Molde Código Q92877
51521609;Elemento Elástico Acoplamento Uniflex E-12
51521832;Fusível Ultra-rápido GSX 40 Amperes CR 240 Volts
4843132;Articulador
4843133;Interruptor
4843134;Anel complementar do knob
4843135;Knob Juicer Fast Fruit
4843136;Suporte do motor
4843137;Motor Fast Fruit 127V JC7811PT
4843138;Motor Fast  Fruit 220V JC7811PT
4843139;Arruela de pressão
4843140;Arruela M9
4843141;Porca Sextavada 10 mm
4843142;Parafuso
JC7822PT;Juicer/Centrifuga Suggar 220V
51521770;Micro Ventilador Ventisilva Tipo E 11AL-CD 230 V.
51521771;Amperimetro Analógico Ferro móvel 0 a 20 Amperes
4825040;Tampa de inox
4825041;Tampa da Sanduicheira  Inox
4825042;Caixa p/ Sanduicheira Inox SD2021/22IX
4825043;Manual p/ Sanduicheira Inox SD2021/22IX
51521834;Escada Extensão de 6.000 x 10.800 mm DGØ Fibra
4825044;Caixa master p/ Sanduicheira  SD2021/22IX/PT/BR
4825045;Parafuso 3 x 10
51521833;Cinta Comprimento 1.000 mm x 3.000 KG
51521835;Fusivel Ultra-rápido Estilo Britânico
51521836;Fusivel Ultra-rápido Estilo Britânico
51521837;Termopar Especial Mineral 2,00 mm
51521859;Parafuso Allen Cabeça M 36 x 300 mm
51521861;Anel Oring  2-333 N0674-70
51521862;Anel Oring  2-227 N0674-70
51521718;Cascata MI-HI Código FT 100238
4843143;Parafuso 3x10 Inox
4843144;Parafuso M3x12 Inox
4843145;Presilha do cordão
4843146;Cabo de força Fast  Fruit JC7811PT
4843147;Fechamento da base
4843148;Ventosas de borracha
4843149;Jarra Fast  Fruit JC7811PT
4843150;Tampa da jarra Fast Fruit JC7811PT
51521915;Anel Oring 329,57 X 6,99 R64208
51521612;Escova Carvão Esmerilhadeira Dwe4120 B2 Tipo 1 Ao 10 Dewalt
51521613;Induzido 220V
51521614;Rolamento 627
51521729;Resistencia D12 BH 24147 Base Heater Gold
51521610;"Correia em ""V"" A 28 Goodyear"
51521611;Conjunto Lubrifil C/ Man+Sup GFC300-15-F3-WG
51521788;Joelho PVC Esgoto C/ Visita 100 x 50 mm
51521787;Espaçador Junta Piso 2 mm
51521789;Nitrato de Prata 5% de N
51521793;Resistencia Linear Hotflex 1000 mm 230V 2500 W.
4840202;Motor 220V
4840203;Base do modulo interno
4840204;Correia
4840205;Engrenagem pequena do motor
4840206;Anel da engrenagem
4840207;Arruela da separação
4840208;Espaçador
4840209;Anel de separação
4840210;Engrenagem grande do batedor
4840211;Trava da engrenagem grande
4840212;Arruela plana
4840213;Gaxeta
4840214;Porca para  engrenagem grande
4840215;Fixador dos fios
4840216;Cabo de alimentação
4840217;Gabinete externo
4840218;Pé de borracha
4840219;Renitência 127V
4840220;Renitência 220V
51521885;Relé Segurança Sik Tipo UE 48-20S2D2
0303024;Motor 4 polos 127V Turbilhão 5.0
0303025;Motor 4 polos 220V Turbilhão 5.0
0303026;Motor 4 polos 127V Aleluia 4.0
0303027;Motor 4 polos 220V Aleluia 4.0
91103527;Serviço de Injeção para Tampa movel Lav. ALELUIA 3.4
51522055;Jogo Chave Combinada GEDORE (10 a 50 mm)
51521623;"Correia em ""V"" B 80 Goodyear"
51521624;"Correia em ""V"" B 96 Goodyear"
51521635;Disjuntor Bipopolar 5Sx1-232-7 32A  - Siemens
51521634;Disjuntor Bipopolar 5Sx1-250-7 50A  - Siemens
51521633;Disjuntor Bipopolar 5Sx1-220-7 20A  - Siemens
51521636;Disjuntor Bipopolar 5Sx1-210-7 10A  - Siemens
51521688;Chapa de Compensado 15mm
51521702;Relé de Estado Sólido Monofásico Mod.CR148040DC 40
51521815;Contator Tripolar Siemens 3TF47 220 Volts 60 HZ
51521911;Moto-Bomba 7,5 Cv 220/380 Volts + Bomba Hidraúlica
51521916;Anel Oring 158,34X3,53 (AC1707) Código P72122
4844053;Base superior PR Liqplus 5 Vel.
4828144;Interruptor
515211858;Barra de Guia Ø  170,2 x 2.880 mm  R 06121
51521863;Gaxeta B Molythane 6-18701752-354 B
51521864;Anel PTFE VC 0750 305C DP-075-BE-VD
FG7505VP;Cooktop a gás Tripla Chama 5B VP
0403020;Cabeacao Lav. GÊNESIS 6.9
91103200;Serviço de injeção p/ Suporte batedor Lav. Lavamatic Super 
51521922;Lavatório de Louça  Branco
51521923;Coluna de Louça Branco para Pia
51521924;Piso Cepal Premium Centauros
51521925;REVELADOR NAO AQUOSO D 70
51521926;Conjunto de Trava da Quilhotina
4804161;Lateral esquerda interna
4804162;Mola
4804163;Gancho da porta
4804164;Porca Sextavada 05 mm
4804165;Eixo
4804166;Roldana
51521917;GAXETA 127,00 X 146,05 X 9,53 Código Q85096
51521918;Buffer Ring D.350 Código R63840
51521659;Pasta Flexoline A4
51521765;Calha Galvanizada # 0,75
51521766;"Eletroduto Galvanizado 3"""
51521767;Suporte Para Fixar Tomada RJ 45
51521768;Capacitor Eletrolitico Aluminio 1 F
51521769;Fabricação Chaveta
51521886;Fonte Bivolt 9 Volts / 1 Ampres - P/ Arduino
2203005;*Correia  poly V  912MAJ3
2203006;Correia  poly V 960J3
4840243;Etiqueta do painel p/ maquina de fazer pão
4840244;Colher medidora
4840245;Copo medidor
1144002R;Acabamento da alca do Liquidificador BR
51521694;Lâmpada Mista 250 Watts 220 Volts E 27
51521695;Lâmpada Dicroica 50 Watts 12 Volts
51521696;Lâmpada PAR 38 100 W 127 Volts
51521799;"Cantoneira de Ferro 2"" x 1/4"""
4804167;Painel PT
4804168;Painel BR
4804169;Suporte do puxador Inox FE9021/22
4804170;Puxador Inox
4804171;Suporte da dobradiça Inox  FE9021/22
4804172;Vidro da porta
4804173;Eixo da porta
4804174;Cordão de força FE0921/22PT/BR
4804175;Conector liga fácil
51521808;"Parafuso Forjado Ranhura em Guia ""T"""
51521809;Porca Sextavada M 14 C/ Colar
51521810;Arruela Temperada M 14
51521811;Grampo de Aperto Tipo Garfo Nº6315GNV
91102027;Serviço de injeção para o Pino sustentacao branco 
51521714;Esmalte Sintético Cinza Médio Fosco
51521860;Valvula Reguladora Pressão DBDS6K 18/200
95351002;Serviço para Autorizacao de saida de material (50x5} 
4840221;Gabinete interno
4840222;Termostato
51521640;Broca de Aço Rápido 4,5 mm
51521641;Broca de Aço Rápido 5 mm
51521660;"Cotovelo Macho Giratório 1/8"" x 1/8"" COD 899-1B"
51521661;Cabo Coaxial Para Antena TV 75,00 HMOS
51521693;Valvula de Segurança - Pressão AD3-C-150
4841136;Conector de cobre
4841137;Protetor térmico
4841138;Abraçadeira de arame
4841139;Cabeação completa
4828137;Pé da borracha
4828138;Parafuso M3 x 12
51521856;Resistencia Cerâmica Ø 220 x 225 mm - 6.500 Watts
4826090;Parafuso ab. cab pan 5 x 15
4826091;Arruela  de pressão M 4
51521676;Disjuntor Monopolar din 20A curva c - soprano
51521890;Anilha Progressiva PRS12LX
51521892;Tubo Aço Carbono TN 12,0 x 09,0
51521620;Análise Óleo Hidraúlico
51521685;Esmalte Sintético Verde Colonial BR
51521684;Zarcão Universal Anticorrosivo e Antioxidante
51521686;Tubo PVC Esgoto 150 mm
51521687;Junção PVC Esgoto 100 x 50 mm
51521782;Corante Xadrez Verde
51521783;Porta Laminada 080 x 210
51521847;Motor Eletrico Trifásico 100 CV 1785 RPM 06 280S/M
51521697;KIT Reparo para Valvula Primor 40 mm M091
51521698;Pino Acionamento com Anel Oring M091
51521699;Embolo para Valvula Primor Oriente 40 mm
51521700;"Tarracha para Tubo PVC 1/2"""
51521701;"Tarracha para Tubo PVC 3/4"""
4840223;Isolante de silicone
4840224;Suporte do termostato
4840225;Protetor térmico
4840226;Painel do PCB
4840227;Placa de comando PCB 127V
4840228;Base da placa PCB
4840229;Fechamneto interno do gabinete
4840230;Placa cerâmica
4840231;Fixador do elemento de aquecimento
4840232;Visor transparente
4840233;Tampa móvel
4840234;Modulo interno da tampa móvel
51521662;Óleo Sintético Lubrificante SCHULZ SRP4050
51521663;Separador Ar/Óleo Código 2100091 SCHULZ SRP 4050
51521664;Filtro de Ar Código 54672522
51521876;Controlador Every Control EC 3-132 N0112 12Vac/dc
51521877;"Alicate Para Anel Externo de 5"" Polegadas"
51521878;"Alicate Para Anel Externo de 7"" Polegadas"
4828139;Base
4828140;Cabeação
4828141;Bobina
4828142;Abraçadeira da cabeação
4828143;Parafuso M3 x 8
4828145;Parafuso M3 x 10
4828146;Cabeação interno I
4828147;Cabeação interno II
4828148;Resistência direita
1101913;Manta filtrante 275 x 361mm (REF.FIL 4240) p/Dep.
1101914;Manta filtrante 250 x 361mm  (REF.FIL 4240) p/ Dep
1101915;Manta filtrante 380 x 500mm (REF.FIL 4240) 
1101916;Manta filtrante 380 x 700mm (REF.FIL 4240) 
51521884;Elemento Elástico Acoplamento Uniflex E-10
51521883;Acoplamento Teteflex D-4
4843151;Caixa p/ Juicer Fast Fruit JC7811/22PT
4843152;Manual p/ Juicer Fast Fruit JC7811PT
0401028;Cabeação completa c/3 pinos Dep. Antares
90401027;Serviço p/ Cabeação c/3 pinos Dep. Antares
51521629;Relé Microprocessado Pextron 7104
51521630;Dispersor do Pó 020 PM 200025
51521631;Cabeçote da Pistola PM101 PM 200003
51521632;"Mangueira de Silicone 1/2"""
51521678;"Bucha Soldavel Latão 25 mm  x 1/2"""
51521679;"Luva Soldavel LR 25mm Rosca 1/2"""
51521680;"Bucha TE Soldavel Latão 25 mm x 1/2"""
51521681;Tubo Soldavel 50 mm x 6.000 mm
4809055;Filtro de ar
4845163;Caixa p/ passadeira  PV4261BR
51521846;Valvula Pneumática GL 2 Vias 1/2  240/60 53DF20CNZ
51521870;Mangueira Montada HF301SNM48D2M48D2383820.
51521871;"Insert-1/4"" Código 459 F 1/4"""
51521872;Tomada Sobrepor 2P 30 Amperes de Louça
51521891;Micro Esfera de Vidro
51521720;"Tubo PVC Rosca de 1"""
51521721;"Té Galvanizado 1"""
51521722;"Luva de Redução Galvanizada 1"" x 1/2"""
51521723;"Mangueira Cristal 5/16"""
51521795;Vira Macho Tipo T Nº 02
51521794;Vira Macho Tipo T Nº 03
51521816;Filtrante HDA FST 300-40M-24B-V
51521824;Fusivel NH 00 80 A. 500 Volts Ultrarrápido
51521825;Fusivel NH 00 100 A. 500 Volts Ultrarrápido
51521826;Chapa Aço
51521827;Pedra Ardózia
4011BR;Lav Suggar Top 4.0 TP Transp 127V
51521682;Caixa Acoplada Branca de Vaso Sanitário
51521683;Valvula Metal PTA Americana
51521739;"Gaxeta Grafitada GR 3/8"" Redonda"
51521738;Tubo Nylon 08312 6,3 x 3,8mm Cód. A09083
51521737;"Mangueira B. Pressão JIFFY Push Loc 3/8"""
51521736;Mangueira Montada HF301SNCAC90060604
51521735;Anilha SAE 60C-3 3/16xx
51521734;"Tubo Nylon Natural Cód. WHN 101 TB 1/4"" 101"
51521741;"Tubo Aço Carbono 3/16"""
51521742;Anilha Progressiva PSR08LX - 8xxx
51521743;Anilha SAE 60C-5
51521607;Resistencia 150 Mega OHMS 060 p/ Equip. Pintura
0901026;Bobina manta filt.580mm (REF.FIL 4240) S/logomarca
1101919;Manta filtrante p/Kit  580 x 780mm
0401027;Cabeação c/3 pinos Dep. Antares
1116010;Sub-conj. motor 127V - 2 polos- 3 vel. Fischer
1116011;Sub-conj. motor 220V - 2 polos- 3 vel. Fischer
1103515;Polia Motor poly V
4022BR;Lav Suggar Top 4.0 TP Transp 220V
VE3011PT;Circulador de Ar Suggar Red 30CM 127V
VE3022PT;Circulador de Ar Suggar Red 30CM 220V
VE7411BR;Ventilador Suggar Torre 74CM 127V
VE7422BR;Ventilador Suggar Torre 74CM 220V
51521912;Resistencia D12 BH 24097 Base Heater Gold
51521869;Tê Perede Carvalho 1,80 metro
1103515R;Polia Motor poly V Refugada
