Codigo;descricao
1101631;Monobloco Bi Turbo 60cm BM silkado 
1101683;Monobloco Suggar Cook Bi Turbo 60cm BR silkado 
1101689;Depurador Suggar Polaris 60CM 220V 50HZ
1101690;Depurador Suggar Polaris 80CM 220V 50HZ
4804108;Grelha FE8L - Wire rack HK-602
4804119;Chave seletora 250V 10A FE8L - Switch 250V/10A HK-
4805003;Acumulador 415042
4805015;Botao p/ luz forno 401485
1101541;Canto de acabamento dir. coifa 60/90cm
1101544;Acionamento da mola da trava
1101585;Painel frontal Tokyo Domino  60 BR tampografado 
1101586;Painel frontal Tokyo Domino 80 BR tampografado 
1101608;Monobloco Bi Turbo 80cm dobrado 
1101609;Monobloco Bi Turbo 60cm estampado 
1101628;Depurador Suggar Bi Turbo 60cm BR 220V
1101634;Monobloco Bi Turbo 80cm BM pintado 
1101605;Monobloco Bi Turbo 80cm BR pintado 
1101679;Depurador Suggar Cook Bi Turbo 60cm BR 220V
1101680;Depurador Suggar Cook Bi Turbo 80cm BR 127V
1101691;Conj. tampa filtrante ANTARES TOKYO 60cm BR montad
1103090;Polia batedor Ø 213,4
1103091;Polia motor A-34
1103113;Lav Predileta CZ. Plus C/Esfregador e Tampa Fume12
1103160;Cuba BR TQ II
1103170;Tampa do comando TQ II
1103188;Lav. Lavamatic Super 220V BR montada
1103219;Lavadora Lavamatic Super 220V 50HZ
1101517;Kit instalação Depurador ANTARES
1101521;Painel frontal ANTARES 60 BM tampografado 
1101532;Depurador Suggar Antares 60cm BR 220V 50HZ C/Lum.
1101545;Depurador Suggar Polaris 60cm BM 127V
1101546;Monobloco POLARIS 60cm BM pintado
1101555;Depurador Suggar Polaris 60cm BM 220V
1101610;Monobloco Bi Turbo 80cm estampado 
2109010;Condensador da Adega 19G
2205002;*Camara de mistura Semi Rapida SABAF
1103094;"""Rolha da Cuba Ref. 504 - 1 """""""
1103177;Visor NV
1103186;Emb. e impressos Lav. Lavamatic Super 127V
1103196;Suporte do motor Lav. Lavamatic Super 
1103210;Embalagens e impressos TQ II 220V
1103214;Filtro cata fiapo VD Lav. Lavamatic
